"Subject" "BoutLength" "TimeFactor" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "TimePoint"
"256" 2 1 1 0 0 1 0 0 0 0 0 94
"257" 2 1 1 0 0 0 0 0 0 0 1 95
"258" 2 1 1 0 1 0 0 0 0 0 0 96
"259" 2 1 1 0 0 0 1 0 0 0 0 97
"260" 2 2 1 0.5 0 0 0 0 0 0 0.5 98
"261" 2 1 1 0 1 0 0 0 0 0 0 99
"262" 2 1 1 0 1 0 0 0 0 0 0 100
"263" 2 1 1 0 0 0 0 0 1 0 0 101
"264" 2 1 1 1 0 0 0 0 0 0 0 102
"265" 2 1 1 0 0 1 0 0 0 0 0 103
"266" 2 1 1 0 0 0 0 1 0 0 0 104
"267" 2 1 1 0 0 1 0 0 0 0 0 105
"268" 2 2 1 0.5 0.5 0 0 0 0 0 0 106
"269" 2 1 1 0 1 0 0 0 0 0 0 107
"270" 2 1 1 0 1 0 0 0 0 0 0 108
"271" 2 1 1 0 0 0 0 0 0 0 1 109
"272" 2 1 1 0 0 0 0 0 0 0 1 110
"273" 2 1 1 0 1 0 0 0 0 0 0 111
"274" 2 1 1 0 1 0 0 0 0 0 0 112
"275" 2 1 1 0 1 0 0 0 0 0 0 113
"276" 2 1 1 0 0 0 0 0 1 0 0 114
"277" 2 1 1 0 0 1 0 0 0 0 0 115
"278" 2 1 1 0 0 0 1 0 0 0 0 116
"279" 2 1 1 0 0 0 0 0 1 0 0 117
"280" 2 1 1 1 0 0 0 0 0 0 0 118
"281" 2 1 1 0 0 0 0 0 1 0 0 119
"282" 2 1 1 0 0 0 0 0 0 0 1 120
"283" 2 1 1 0 0 0 0 0 0 0 1 121
"284" 2 1 1 0 0 0 0 0 1 0 0 122
"285" 2 1 1 0 0 0 0 0 1 0 0 123
"286" 2 1 1 0 0 0 0 0 1 0 0 124
"287" 2 2 1 0.5 0.5 0 0 0 0 0 0 125
"288" 2 1 1 0 1 0 0 0 0 0 0 126
"289" 2 1 1 0 0 0 0 0 0 1 0 127
"290" 2 1 1 0 1 0 0 0 0 0 0 128
"291" 2 1 1 0 1 0 0 0 0 0 0 129
"292" 2 1 1 0 0 0 1 0 0 0 0 130
"293" 2 1 1 1 0 0 0 0 0 0 0 131
"294" 2 1 1 0 1 0 0 0 0 0 0 132
"295" 2 1 1 0 0 0 0 0 0 1 0 133
"296" 2 1 1 0 1 0 0 0 0 0 0 134
"297" 2 1 1 0 1 0 0 0 0 0 0 135
"298" 2 2 1 0.5 0 0 0 0 0.5 0 0 136
"299" 2 1 1 1 0 0 0 0 0 0 0 137
"300" 2 1 1 0 0 0 0 0 0 1 0 138
"301" 2 1 1 1 0 0 0 0 0 0 0 139
"302" 2 1 1 0 0 0 0 0 1 0 0 140
"303" 2 1 1 0 0 0 0 0 1 0 0 141
"304" 2 1 1 1 0 0 0 0 0 0 0 142
"305" 2 1 1 1 0 0 0 0 0 0 0 143
"306" 2 1 1 0 1 0 0 0 0 0 0 144
"307" 2 1 1 0 1 0 0 0 0 0 0 145
"308" 2 1 1 0 1 0 0 0 0 0 0 146
"309" 2 1 1 0 0 1 0 0 0 0 0 147
"310" 2 1 1 0 1 0 0 0 0 0 0 148
"311" 2 1 1 0 1 0 0 0 0 0 0 149
"312" 2 1 1 0 1 0 0 0 0 0 0 150
"313" 2 2 1 0.5 0.5 0 0 0 0 0 0 151
"314" 2 1 1 1 0 0 0 0 0 0 0 152
"315" 2 2 1 0.5 0 0 0 0 0 0 0.5 153
"316" 2 1 1 0 1 0 0 0 0 0 0 154
"317" 2 1 2 1 0 0 0 0 0 0 0 1
"318" 2 3 2 1 0 0 0 0 0 0 0 2
"319" 2 1 2 1 0 0 0 0 0 0 0 3
"320" 2 5 2 1 0 0 0 0 0 0 0 4
"321" 2 1 2 1 0 0 0 0 0 0 0 5
"322" 2 3 2 1 0 0 0 0 0 0 0 6
"323" 2 3 2 1 0 0 0 0 0 0 0 7
"324" 2 1 2 0 0 0 0 0 1 0 0 8
"325" 2 1 2 0 0 0 0 0 1 0 0 9
"326" 2 1 2 1 0 0 0 0 0 0 0 10
"327" 2 1 2 0 0 0 0 0 1 0 0 11
"328" 2 1 2 1 0 0 0 0 0 0 0 12
"329" 2 1 2 0 1 0 0 0 0 0 0 13
"330" 2 1 2 0 0 0 0 0 1 0 0 14
"331" 2 1 2 0 1 0 0 0 0 0 0 15
"332" 2 1 2 0 0 1 0 0 0 0 0 16
"333" 2 1 2 1 0 0 0 0 0 0 0 17
"334" 2 1 2 1 0 0 0 0 0 0 0 18
"335" 2 2 2 0.5 0 0 0 0 0.5 0 0 19
"336" 2 2 2 1 0 0 0 0 0 0 0 20
"337" 2 3 2 1 0 0 0 0 0 0 0 21
"338" 2 1 2 0 1 0 0 0 0 0 0 22
"339" 2 1 2 1 0 0 0 0 0 0 0 23
"340" 2 1 2 1 0 0 0 0 0 0 0 24
"341" 2 1 2 1 0 0 0 0 0 0 0 25
"342" 2 3 2 0.666666666666667 0 0 0 0 0 0 0.333333333333333 26
